movieId,rating_count
356,837
296,801
260,791
593,779
1196,769
480,761
1270,742
1198,734
2858,720
2762,714
1210,706
4993,703
589,701
780,694
2959,677
110,674
50,671
3578,664
1265,660
2028,658
608,658
5952,657
4306,642
1291,634
1240,632
1721,624
1097,622
7153,621
32,619
1136,613
1214,611
1527,609
4226,606
2716,603
2628,591
541,588
377,588
6539,585
1704,584
150,580
457,570
1197,569
4963,569
5445,564
3793,564
364,558
5349,550
6377,546
1200,541
367,540
588,536
6874,532
1258,531
4886,526
1732,525
2997,523
2115,521
293,517
924,517
380,514
3147,511
1213,508
4995,506
5418,504
1221,504
5989,497
1923,497
1961,497
2918,496
597,495
3996,495
733,490
4022,484
7438,482
344,482
2683,478
7361,477
1968,476
1517,475
8961,475
33794,473
1208,470
590,469
4896,467
778,465
919,465
2797,463
4878,460
2012,456
1917,455
1617,454
1073,451
6365,448
3114,445
2174,445
1784,445
231,444
4027,438
1653,436
2987,435
1584,435
3948,434
736,433
750,433
595,431
1610,431
1573,431
2000,430
5378,428
111,426
8636,426
165,425
223,424
1259,423
2355,422
1080,421
1393,421
1220,419
2617,418
153,411
32587,409
1307,406
2396,404
3994,402
8360,399
2791,399
1079,398
39,398
1225,393
912,393
6333,393
2710,391
1485,391
253,386
3897,384
1370,384
2542,384
316,383
208,383
551,383
8368,381
1676,381
3623,380
33493,377
357,376
10,375
2700,375
1625,373
1407,371
79132,368
1544,368
1380,367
2054,367
3949,367
2194,366
6934,365
8665,364
7147,364
48516,362
2268,360
8874,359
6,358
3481,356
59315,356
3751,355
2692,353
2985,353
1552,352
1090,351
5218,351
48780,350
19,350
6502,348
904,347
3253,346
1201,344
5502,344
2324,344
1247,342
72998,341
60069,340
4370,340
21,338
3081,337
49272,335
1997,335
48394,334
3471,334
45722,334
1377,333
6373,331
4034,330
1608,330
4979,330
6863,329
2353,329
1641,329
3033,327
2321,326
51662,325
4308,323
68157,323
288,323
1777,323
1374,322
1266,322
40815,322
1278,321
292,320
1394,320
3448,318
1320,317
1500,316
48774,315
1028,315
1288,314
2712,314
7143,313
16,312
7254,312
2081,311
349,311
2001,309
2302,308
3753,307
508,306
2003,306
68954,304
5010,303
4720,303
54286,302
2529,302
56367,302
6378,301
594,300
5299,299
30707,298
1252,298
329,296
1207,296
1356,296
4246,296
35836,293
1234,293
5679,292
3671,291
454,291
442,291
3160,290
2005,290
353,289
1639,289
5995,288
70286,287
2470,286
50872,286
2167,286
4447,285
337,285
2671,285
903,284
368,284
4085,284
2006,283
3176,283
33679,282
4848,282
4776,281
908,281
95,280
6942,279
920,278
1304,278
474,277
784,277
4816,277
2804,277
1302,276
2420,274
4018,274
69122,274
1275,274
51255,273
1183,272
2890,272
185,272
56174,271
2701,270
5956,269
161,268
1722,268
25,267
1230,266
235,266
68358,265
555,265
4025,265
36,264
1876,264
8798,263
3489,263
1748,261
2294,261
5481,259
91529,259
4270,259
339,259
1088,258
8464,258
1376,258
163,257
3418,257
41566,257
2717,257
1690,256
2100,256
440,256
1092,255
34162,255
3499,255
8361,255
1250,255
2572,254
8376,254
4014,254
832,254
5902,253
4718,253
2407,253
4975,251
2699,251
1408,251
3717,251
99114,250
410,250
3000,249
2455,249
7458,249
4643,248
4571,248
3785,247
47610,247
3039,247
1263,247
1333,246
3421,245
33166,245
1674,245
2019,244
5266,244
1562,244
73017,243
109487,243
145,242
300,242
8622,242
45447,242
1233,241
2278,240
1994,240
6807,240
7293,240
1884,240
80463,239
1569,238
3702,238
54503,238
653,238
5991,238
8784,237
3255,237
53125,237
89745,236
1358,236
485,236
1339,235
7373,235
2193,235
3868,235
5388,235
64614,235
4367,234
49530,234
317,234
2288,233
4369,233
33004,233
8528,233
8984,233
1597,233
5464,232
4148,231
173,231
1242,231
466,231
2021,230
2078,230
1215,230
44195,230
786,230
3552,227
4223,226
1285,226
1262,226
3703,226
2105,225
62,225
2539,225
266,224
1345,223
6218,223
802,223
41569,223
435,223
91500,221
2124,220
7451,220
4638,219
2694,219
81591,219
910,218
1907,217
5903,217
46976,216
48,216
8641,215
1921,214
30812,214
1204,214
2076,214
4239,214
8950,214
596,213
8949,213
112852,213
8957,212
2953,212
64957,212
1129,210
1747,210
69844,210
1276,209
3252,209
3275,209
3082,208
509,208
913,208
81845,208
106782,208
17,207
1293,207
3624,207
1372,206
68237,206
1343,205
44665,205
1371,204
673,204
30825,204
40819,203
3911,203
1022,202
78499,202
1918,201
3210,201
543,201
3108,201
3301,201
1029,200
3300,200
1060,199
57669,199
471,199
5630,199
30810,198
553,198
708,198
88125,198
54272,197
6936,197
59784,196
31685,196
497,196
172,195
6947,195
333,195
76251,195
96610,194
55247,194
47099,194
36529,193
158,193
8783,193
350,192
134130,192
2541,191
109374,191
122882,191
1663,191
1347,191
160,191
4321,191
1274,190
2160,190
785,190
552,189
3006,189
2335,189
2248,189
3510,188
1805,188
31658,188
2018,188
31696,188
1027,187
3617,187
1287,187
98809,187
441,187
3698,186
52722,186
1590,186
6281,185
8970,184
969,184
355,184
3967,184
4344,184
34319,183
1120,183
69757,183
899,183
6708,183
2968,183
2140,183
38061,182
1405,182
420,182
44199,182
902,182
2949,182
3101,180
96079,180
122886,180
2490,180
1587,180
1249,180
37729,180
111759,180
3020,178
2871,178
59615,178
2746,178
39183,177
3174,177
3988,177
2724,177
3105,177
3386,177
3107,177
4701,177
4361,177
2232,177
87232,177
5673,177
61132,177
84152,176
52973,175
5444,174
1172,174
3362,174
5872,174
3409,174
3809,174
805,172
1271,172
116797,172
1962,172
3869,171
45517,171
88129,170
7445,170
4446,170
1261,170
432,170
198,170
60074,169
2951,169
86332,169
6157,169
6534,169
1321,168
2403,168
29,168
79702,167
41997,167
85414,167
1350,167
2109,167
4016,167
2393,167
46723,166
1479,166
1912,166
2431,166
2770,166
1272,165
55765,165
91542,165
1947,165
968,165
3363,165
455,164
2378,164
3740,164
1047,164
2096,164
53322,163
8917,163
6541,163
783,162
2605,162
3,162
122904,162
6323,162
112556,162
3798,161
2421,161
661,161
741,161
44555,161
1267,161
1717,161
33615,161
529,161
585,160
4890,160
6287,159
63113,159
46972,159
5254,158
2722,158
1020,158
6754,158
5064,158
2405,158
54997,158
1231,158
2313,157
168,157
1779,157
5507,157
1042,157
3697,157
3704,157
1982,156
372,156
34150,156
57368,156
3827,156
431,155
3005,155
6953,155
7,155
4019,155
97921,155
4128,155
1952,155
91658,155
256,155
3257,155
22,155
2410,154
45186,154
2908,154
1513,154
2723,154
4901,154
102125,154
1385,153
88140,153
2289,153
3450,153
3285,152
170,152
3087,152
54259,151
56757,151
106487,151
2108,151
64839,151
37733,151
97304,151
3361,151
1235,150
5945,150
2145,150
102445,150
2134,150
247,150
1960,149
94864,149
5013,149
134853,149
3168,148
2948,148
112,148
3148,148
1245,148
2478,148
72011,148
4015,148
2423,148
2064,147
106920,147
8533,147
1586,147
1093,147
3969,146
82459,146
2340,146
265,145
2501,145
2826,145
724,145
38038,145
2411,145
7022,144
2094,144
3273,144
5,144
3396,144
45,143
616,143
5015,143
119145,143
5528,143
2402,143
3354,142
2687,142
3555,142
111362,141
2944,141
2352,141
1438,141
6565,141
112552,140
81562,140
236,140
2872,140
7360,140
94959,139
106489,139
1299,139
139385,139
1244,138
24,138
7325,138
4881,138
3681,138
475,138
61024,137
3825,137
3504,136
1077,136
2991,136
88744,136
1357,136
97938,136
4388,136
2467,136
1223,136
3608,135
6957,135
4489,135
4023,135
89492,134
4105,134
1186,134
112183,134
3034,134
2881,133
246,133
8981,133
91630,133
110102,133
7004,133
3438,133
2004,132
68319,132
2600,132
8371,132
282,132
345,132
81847,131
31,131
2020,131
4235,131
1269,130
6503,130
4448,130
40629,130
2137,129
8810,129
93510,129
44022,129
8958,129
2471,129
46530,129
3186,129
45672,129
73321,128
5171,128
7160,128
2739,128
186,128
3638,128
3424,128
866,128
303,127
8983,127
3686,127
5225,127
4232,126
60072,126
1680,126
1025,126
31410,126
2010,126
115569,125
3156,125
319,125
1188,125
52281,125
1209,124
1409,124
2300,124
66097,124
64969,124
379,123
4728,123
1635,123
48304,123
60040,123
106100,122
7347,122
102903,122
97913,122
3745,122
87306,122
922,122
4161,122
58,121
